participant_id,group,age,education,occupation,state_origin,marital_status
9354,4,8,licenciatura,j,d,divorciado

foundCategories,mostFoundCategories,difficultyOverall,strategy_used
"individual, combination, more","individual, combination, more, specific_item","3","common_feature, odd_one_out"

participant_id,trial_number,rule_type,rule_param_shape,rule_param_color,rule_param_fill,rule_param_feature,rule_param_value,rule_param_feature1,rule_param_value1,rule_param_feature2,rule_param_value2,rule_param_subtype,grid_configuration_ids,action_sequence_in_trial,action_type,action_time_ms,selected_item_index,selected_item_id,selected_item_shape,selected_item_color,selected_item_fill,tested_selection_ids,is_test_any_item_relevant,final_selection_ids,is_final_selection_correct,confidence,trial_start_time_ms,trial_end_time_ms,trial_correctly_solved
"9354","1","conjuntiva","","","","","","color","azul","shape","trapecio","","trapecio_azul_cuadrado.jpg;trapecio_morado_trapecio.jpg;circulo_azul_pentagono.jpg;cuadrado_rosa_pentagono.jpg;pentagono_morado_circulo.jpg;pentagono_rosa_pentagono.jpg;cuadrado_azul_circulo.jpg;pentagono_azul_trapecio.jpg;circulo_morado_cuadrado.jpg;circulo_rosa_circulo.jpg;trapecio_rosa_cuadrado.jpg;cuadrado_morado_cuadrado.jpg;circulo_naranja_trapecio.jpg;pentagono_naranja_cuadrado.jpg;trapecio_naranja_circulo.jpg;cuadrado_naranja_trapecio.jpg","1","select_item","8149","0","trapecio_azul_cuadrado.jpg","trapecio","azul","cuadrado","","","","","","1","18817","true"
"9354","1","conjuntiva","","","","","","color","azul","shape","trapecio","","trapecio_azul_cuadrado.jpg;trapecio_morado_trapecio.jpg;circulo_azul_pentagono.jpg;cuadrado_rosa_pentagono.jpg;pentagono_morado_circulo.jpg;pentagono_rosa_pentagono.jpg;cuadrado_azul_circulo.jpg;pentagono_azul_trapecio.jpg;circulo_morado_cuadrado.jpg;circulo_rosa_circulo.jpg;trapecio_rosa_cuadrado.jpg;cuadrado_morado_cuadrado.jpg;circulo_naranja_trapecio.jpg;pentagono_naranja_cuadrado.jpg;trapecio_naranja_circulo.jpg;cuadrado_naranja_trapecio.jpg","2","select_item","9166","2","circulo_azul_pentagono.jpg","circulo","azul","pentagono","","","","","","1","18817","true"
"9354","1","conjuntiva","","","","","","color","azul","shape","trapecio","","trapecio_azul_cuadrado.jpg;trapecio_morado_trapecio.jpg;circulo_azul_pentagono.jpg;cuadrado_rosa_pentagono.jpg;pentagono_morado_circulo.jpg;pentagono_rosa_pentagono.jpg;cuadrado_azul_circulo.jpg;pentagono_azul_trapecio.jpg;circulo_morado_cuadrado.jpg;circulo_rosa_circulo.jpg;trapecio_rosa_cuadrado.jpg;cuadrado_morado_cuadrado.jpg;circulo_naranja_trapecio.jpg;pentagono_naranja_cuadrado.jpg;trapecio_naranja_circulo.jpg;cuadrado_naranja_trapecio.jpg","3","select_item","9566","6","cuadrado_azul_circulo.jpg","cuadrado","azul","circulo","","","","","","1","18817","true"
"9354","1","conjuntiva","","","","","","color","azul","shape","trapecio","","trapecio_azul_cuadrado.jpg;trapecio_morado_trapecio.jpg;circulo_azul_pentagono.jpg;cuadrado_rosa_pentagono.jpg;pentagono_morado_circulo.jpg;pentagono_rosa_pentagono.jpg;cuadrado_azul_circulo.jpg;pentagono_azul_trapecio.jpg;circulo_morado_cuadrado.jpg;circulo_rosa_circulo.jpg;trapecio_rosa_cuadrado.jpg;cuadrado_morado_cuadrado.jpg;circulo_naranja_trapecio.jpg;pentagono_naranja_cuadrado.jpg;trapecio_naranja_circulo.jpg;cuadrado_naranja_trapecio.jpg","4","select_item","10365","7","pentagono_azul_trapecio.jpg","pentagono","azul","trapecio","","","","","","1","18817","true"
"9354","1","conjuntiva","","","","","","color","azul","shape","trapecio","","trapecio_azul_cuadrado.jpg;trapecio_morado_trapecio.jpg;circulo_azul_pentagono.jpg;cuadrado_rosa_pentagono.jpg;pentagono_morado_circulo.jpg;pentagono_rosa_pentagono.jpg;cuadrado_azul_circulo.jpg;pentagono_azul_trapecio.jpg;circulo_morado_cuadrado.jpg;circulo_rosa_circulo.jpg;trapecio_rosa_cuadrado.jpg;cuadrado_morado_cuadrado.jpg;circulo_naranja_trapecio.jpg;pentagono_naranja_cuadrado.jpg;trapecio_naranja_circulo.jpg;cuadrado_naranja_trapecio.jpg","5","select_item","11199","1","trapecio_morado_trapecio.jpg","trapecio","morado","trapecio","","","","","","1","18817","true"
"9354","1","conjuntiva","","","","","","color","azul","shape","trapecio","","trapecio_azul_cuadrado.jpg;trapecio_morado_trapecio.jpg;circulo_azul_pentagono.jpg;cuadrado_rosa_pentagono.jpg;pentagono_morado_circulo.jpg;pentagono_rosa_pentagono.jpg;cuadrado_azul_circulo.jpg;pentagono_azul_trapecio.jpg;circulo_morado_cuadrado.jpg;circulo_rosa_circulo.jpg;trapecio_rosa_cuadrado.jpg;cuadrado_morado_cuadrado.jpg;circulo_naranja_trapecio.jpg;pentagono_naranja_cuadrado.jpg;trapecio_naranja_circulo.jpg;cuadrado_naranja_trapecio.jpg","6","select_item","13618","10","trapecio_rosa_cuadrado.jpg","trapecio","rosa","cuadrado","","","","","","1","18817","true"
"9354","1","conjuntiva","","","","","","color","azul","shape","trapecio","","trapecio_azul_cuadrado.jpg;trapecio_morado_trapecio.jpg;circulo_azul_pentagono.jpg;cuadrado_rosa_pentagono.jpg;pentagono_morado_circulo.jpg;pentagono_rosa_pentagono.jpg;cuadrado_azul_circulo.jpg;pentagono_azul_trapecio.jpg;circulo_morado_cuadrado.jpg;circulo_rosa_circulo.jpg;trapecio_rosa_cuadrado.jpg;cuadrado_morado_cuadrado.jpg;circulo_naranja_trapecio.jpg;pentagono_naranja_cuadrado.jpg;trapecio_naranja_circulo.jpg;cuadrado_naranja_trapecio.jpg","7","select_item","15765","14","trapecio_naranja_circulo.jpg","trapecio","naranja","circulo","","","","","","1","18817","true"
"9354","1","conjuntiva","","","","","","color","azul","shape","trapecio","","trapecio_azul_cuadrado.jpg;trapecio_morado_trapecio.jpg;circulo_azul_pentagono.jpg;cuadrado_rosa_pentagono.jpg;pentagono_morado_circulo.jpg;pentagono_rosa_pentagono.jpg;cuadrado_azul_circulo.jpg;pentagono_azul_trapecio.jpg;circulo_morado_cuadrado.jpg;circulo_rosa_circulo.jpg;trapecio_rosa_cuadrado.jpg;cuadrado_morado_cuadrado.jpg;circulo_naranja_trapecio.jpg;pentagono_naranja_cuadrado.jpg;trapecio_naranja_circulo.jpg;cuadrado_naranja_trapecio.jpg","8","final_select","18816","","","","","","","","trapecio_azul_cuadrado.jpg;circulo_azul_pentagono.jpg;cuadrado_azul_circulo.jpg;pentagono_azul_trapecio.jpg;trapecio_morado_trapecio.jpg;trapecio_rosa_cuadrado.jpg;trapecio_naranja_circulo.jpg","true","2","1","18817","true"
"9354","2","conjuntiva","","","","","","fill","pentagono","color","naranja","","cuadrado_naranja_pentagono.jpg;trapecio_azul_cuadrado.jpg;pentagono_azul_trapecio.jpg;trapecio_rosa_circulo.jpg;cuadrado_morado_pentagono.jpg;circulo_azul_cuadrado.jpg;pentagono_naranja_cuadrado.jpg;circulo_morado_pentagono.jpg;circulo_rosa_pentagono.jpg;pentagono_rosa_pentagono.jpg;trapecio_morado_pentagono.jpg;cuadrado_naranja_circulo.jpg;pentagono_morado_circulo.jpg;trapecio_naranja_pentagono.jpg;cuadrado_rosa_trapecio.jpg;circulo_naranja_pentagono.jpg","1","select_item","23416","0","cuadrado_naranja_pentagono.jpg","cuadrado","naranja","pentagono","","","","","","19318","32300","true"
"9354","2","conjuntiva","","","","","","fill","pentagono","color","naranja","","cuadrado_naranja_pentagono.jpg;trapecio_azul_cuadrado.jpg;pentagono_azul_trapecio.jpg;trapecio_rosa_circulo.jpg;cuadrado_morado_pentagono.jpg;circulo_azul_cuadrado.jpg;pentagono_naranja_cuadrado.jpg;circulo_morado_pentagono.jpg;circulo_rosa_pentagono.jpg;pentagono_rosa_pentagono.jpg;trapecio_morado_pentagono.jpg;cuadrado_naranja_circulo.jpg;pentagono_morado_circulo.jpg;trapecio_naranja_pentagono.jpg;cuadrado_rosa_trapecio.jpg;circulo_naranja_pentagono.jpg","2","select_item","23932","6","pentagono_naranja_cuadrado.jpg","pentagono","naranja","cuadrado","","","","","","19318","32300","true"
